Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,Sto,Sk.F,FiV,TB,Frk,Stl,Blk,Stp,Gul,2m,Rau
Valur,Arna Karitas Eiríksdóttir,2023/24,5,0.2,25,0,0,1.2,1.2,0.6,0.4,0,0.2,0,0.4,0,0,0
Valur,Arna Karitas Eiríksdóttir,2022/23,3,0,0,0,0,0.3,0.3,0,0,0,0,0,0.3,0,0,0
Valur,Arna Karitas Eiríksdóttir,2021/22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Selfoss,Arna Kristín Einarsdóttir,2022/23,14,2.9,48.8,0.1,66.7,1,1.8,0.2,1.6,0.6,0.5,0,1.3,0,0.3,0
Valur,Arna Sif Pálsdóttir,2020/21,2,1,66.7,0,0,0,0,0,0.5,0,0,2.5,1,0,0.5,0
Valur,Arna Sif Pálsdóttir,2019/20,11,1.3,63.6,0,0,0.2,0.2,0.7,0.3,0,0.5,0.9,1.9,0.3,0.2,0
IBV,Arna Sif Pálsdóttir,2018/19,24,5.8,81.9,2,87.3,0.5,0.6,0.8,0.9,0.2,0.7,1.2,2.9,0.3,1.1,0
KA/Thor,Arna Valgerður Erlingsdóttir,2022/23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA/Thor,Arna Valgerður Erlingsdóttir,2021/22,12,0.2,66.7,0,0,0.2,0.4,0,0.1,0,0,0,0,0,0,0
KA/Thor,Arna Valgerður Erlingsdóttir,2020/21,15,0.1,50,0,0,0.3,0.4,0,0.3,0,0.1,0.1,0.1,0,0,0
KA/Thor,Arna Valgerður Erlingsdóttir,2019/20,15,0.3,41.7,0,0,0.4,0.4,0.1,0.4,0,0,0.2,0.3,0,0.2,0
KA/Thor,Arna Valgerður Erlingsdóttir,2018/19,12,0.2,33.3,0,0,0.2,0.3,0,0.4,0,0,0,0.2,0,0,0
Stjarnan,Arna Þyrí Ólafsdóttir,2019/20,11,0.8,45,0,0,0.7,0.7,0.1,0.8,0.1,0.1,0,0.7,0,0.1,0
FH,Arndís Sara Þórsdóttir,2020/21,14,0.7,90.9,0,0,0,0,0.3,0.4,0.1,0.3,0.1,1.4,0,0.2,0
IBV,Asuncion Batista Portero,2019/20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stjarnan,Auður Brynja Sölvadóttir,2020/21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stjarnan,Auður Brynja Sölvadóttir,2019/20,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Stjarnan,Auður Brynja Sölvadóttir,2018/19,14,0.1,14.3,0,0,0.1,0.1,0,0.2,0.1,0,0,0.1,0,0.1,0
Valur,Auður Ester Gestsdóttir,2023/24,5,2.6,81.3,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0
Valur,Auður Ester Gestsdóttir,2022/23,24,1.3,64.6,0,0,0,0,0.1,0.1,0.3,0.1,0,0.3,0,0.2,0
Valur,Auður Ester Gestsdóttir,2021/22,29,2.1,63.9,0,0,0.1,0.1,0.1,0.4,0.2,0.3,0,0.3,0,0.2,0
Valur,Auður Ester Gestsdóttir,2020/21,20,2.2,59.7,0,0,0,0,0.2,0.4,0.3,0.5,0,0.9,0,0.1,0
Valur,Auður Ester Gestsdóttir,2019/20,18,2.2,47.6,0,0,0.1,0.1,0.3,0.4,0,0.4,0,0.7,0,0.2,0
Valur,Auður Ester Gestsdóttir,2018/19,26,0.8,48.8,0,0,0.1,0.1,0,0.2,0,0.2,0,0.2,0,0.1,0
HK,Azra Cosic,2018/19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA/Thor,Aþena Einvarðsdóttir,2023/24,4,0.5,40,0,0,0,0,0.3,0.3,0,0.3,0,0.8,0,0,0
KA/Thor,Aþena Einvarðsdóttir,2022/23,20,0.9,64.3,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0,0.2,0,0.1,0
KA/Thor,Aþena Einvarðsdóttir,2021/22,3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
KA/Thor,Aþena Einvarðsdóttir,2020/21,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
FH,Aþena Arna Ágústsdóttir,2020/21,14,0.8,64.7,0,0,0,0.1,0.1,0.6,0.3,0,0,0.2,0,0.1,0
HK,Ágústa Huld Gunnarsdóttir,2019/20,19,1,79.2,0.8,88.9,0.1,0.1,0,0.2,0.1,0,0,0.3,0,0,0
HK,Ágústa Huld Gunnarsdóttir,2018/19,21,0.7,34.9,0,0,0.7,1,0.2,1.3,0,0.1,0.1,0.9,0,0,0
Valur,Ágústa Rún Jónasdóttir,2023/24,4,0,0,0,0,0,0,0,0.3,0,0,0.3,0.5,0,0,0
HK,Ágústa Rún Jónasdóttir,2022/23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBV,Ásdís Guðmundsdóttir,2023/24,5,2.8,77.8,0.4,100,0.8,1.6,0.2,0.4,0,0.4,0,0.6,0,0,0
KA/Thor,Ásdís Guðmundsdóttir,2021/22,27,2.4,73.6,0.1,66.7,0.3,0.4,0.9,0.6,0.4,0.2,0.1,0.8,0.1,0,0
KA/Thor,Ásdís Guðmundsdóttir,2020/21,19,4.1,69.4,1.6,73.8,0.1,0.3,0.7,1,0.5,0.4,0.1,1.2,0,0.2,0
KA/Thor,Ásdís Guðmundsdóttir,2019/20,16,4,75.3,0.3,71.4,0.3,0.6,0.9,0.4,0.9,0.5,0.1,0.3,0,0.3,0
KA/Thor,Ásdís Sigurðardóttir,2019/20,16,1.8,40.3,0,0,0.7,1.1,0.2,1.3,0.1,0.4,0,1.6,0,0.4,0
KA/Thor,Ásdís Sigurðardóttir,2018/19,7,1,31.8,0,0,0.3,0.6,0.1,0.6,0.1,0,0,0.1,0,0,0
KA/Thor,Ásdís Guðmundsdóttir,2018/19,21,2.5,74.6,0.2,50,0.3,0.5,0.7,0.6,0.3,0.4,0.2,0.4,0,0.1,0
Afturelding,Ásdís Birta Alexandersdóttir,2019/20,8,0.1,20,0,0,0.1,0.1,0,0.1,0,0,0,0.1,0,0,0
Valur,Ásdís Þóra Ágústsdóttir,2023/24,5,3,55.6,0,0,2.6,5.2,0.2,2.4,0.2,0.8,0,0.4,0,0,0
Selfoss,Ásdís Þóra Ágústsdóttir,2022/23,27,1.9,43.1,0.1,50,2.5,4.2,0.1,1.9,0.2,0.9,0.1,0.6,0,0,0
Valur,Ásdís Þóra Ágústsdóttir,2020/21,12,2,47.1,0.2,50,0.8,1.4,0.2,0.8,0.3,0.2,0,0.2,0,0,0
Valur,Ásdís Þóra Ágústsdóttir,2019/20,18,2.9,46.4,1.3,70.6,1.4,2.6,0.3,1.5,0.2,0.2,0.1,0.4,0,0.1,0
Valur,Ásdís Þóra Ágústsdóttir,2018/19,25,1.3,61.5,0.8,77.8,0,0.2,0.1,0.4,0,0,0,0,0,0,0
Valur,Ásrún Inga Arnarsdóttir,2023/24,4,0.3,50,0,0,0,0,0,0,0,0.3,0.5,1.3,0,0,0
Valur,Ásrún Inga Arnarsdóttir,2022/23,8,0.1,33.3,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.1,0
IBV,Ásta Björt Júlíusdóttir,2022/23,27,2,38.7,0.4,80,0.7,1.1,0.1,1.1,0.3,0,0,1.4,0.1,0.2,0
Haukar,Ásta Björt Júlíusdóttir,2021/22,22,4.9,48.9,2,79.6,1.5,2.7,0.2,1.2,0.4,0.1,0,0.5,0,0.2,0
IBV,Ásta Björt Júlíusdóttir,2020/21,19,4.4,49.7,2.4,80.4,0.5,1.2,0.1,0.7,0.2,0.2,0.1,1.2,0.1,0.4,0.1
IBV,Ásta Björt Júlíusdóttir,2019/20,18,6.2,51.6,3.1,91.8,1.2,1.6,0.1,2.3,0.2,0.5,0.1,1.8,0.1,0.3,0
IBV,Ásta Björt Júlíusdóttir,2018/19,24,1.9,53.5,0.8,80,0.6,0.7,0,0.6,0,0,0,0.4,0,0.1,0
IR,Ásthildur Bertha Bjarkadóttir,2023/24,5,1.6,33.3,0,0,0,0.4,0.2,0,0.4,0.4,0,0.4,0,0,0
Stjarnan,Ásthildur Bertha Bjarkadóttir,2021/22,22,1,41.2,0,0,0.1,0.1,0,0.3,0.3,0.1,0,0.2,0,0.1,0
Stjarnan,Ásthildur Bertha Bjarkadóttir,2020/21,14,1.1,53.3,0,0,0,0,0,0.1,0.2,0.1,0,0.2,0.1,0,0
Stjarnan,Ásthildur Bertha Bjarkadóttir,2019/20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Valur,Ásthildur Jóna Þórhallsdóttir,2023/24,3,1,50,0,0,0,0,0,0.3,0,0,0,0,0,0,0
Valur,Ásthildur Jóna Þórhallsdóttir,2022/23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fram,Berglind Þorsteinsdóttir,2023/24,4,0.8,60,0,0,0.5,0.5,0,0,0.5,0.5,3,5.3,0.5,0.5,0
Haukar,Berglind Benediktsdóttir,2023/24,4,0.3,33.3,0,0,0.5,1.5,0,0.3,0,0.3,0,2,0.3,0.3,0
IR,Berglind Gunnarsdóttir,2023/24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
Haukar,Berglind Benediktsdóttir,2022/23,22,2.6,70.7,1.5,72.3,0.5,1.2,0.3,0.5,0.3,0.3,0.1,3.6,0,0.1,0
Valur,Berglind Gunnarsdóttir,2022/23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Berglind Þorsteinsdóttir,2022/23,4,3,48,0,0,1.3,2.1,0,1.8,0,1,0.8,1.8,0,0.3,0
Haukar,Berglind Benediktsdóttir,2021/22,23,0.8,55.9,0,0,0.2,0.3,0.4,0.4,0.2,0.3,0.3,2.5,0,0.3,0
Valur,Berglind Gunnarsdóttir,2021/22,9,0.1,100,0,0,0,0,0,0,0.1,0,0,0,0,0,0
HK,Berglind Þorsteinsdóttir,2021/22,20,1.5,35.4,0.3,85.7,0.9,1.8,0.1,1,0.2,1.1,0.8,3.4,0.1,0.6,0
HK,Berglind Þorsteinsdóttir,2020/21,11,1.8,58.8,0,0,1.1,1.4,0.2,0.8,0.2,0.7,0.5,3.3,0.1,0.3,0.1
