Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,Sto,Sk.F,FiV,TB,Frk,Stl,Blk,Stp,Gul,2m,Rau
IBV,Arnór Viðarsson,2022/23,30,3.8,58.9,0,0,2.2,3.3,0.9,1.6,0.8,0.8,0.3,3.8,0.1,0.7,0
IBV,Arnór Viðarsson,2021/22,32,2.3,66.1,0,0,1.1,1.7,0.7,1.3,0.4,0.6,0.5,3.8,0.1,0.6,0.1
HK,Arnór Róbertsson,2021/22,20,0.6,39.3,0,0,0,0,0.2,0.4,0.2,0.3,0,0.1,0,0.1,0
IBV,Arnór Viðarsson,2020/21,25,2,49.5,0,0,1.6,2,0.6,1.3,0.2,0.4,0.2,3.2,0.1,0.4,0
Fram,Arnór Róbertsson,2020/21,8,0.4,100,0,0,0,0,0.1,0.4,0.1,0,0,0,0,0.1,0
IBV,Arnór Viðarsson,2019/20,17,0.1,28.6,0.1,100,0.2,0.3,0.2,0.4,0.1,0.2,0.1,1.5,0,0.4,0.1
IBV,Arnór Viðarsson,2018/19,6,0.2,100,0,0,0,0,0,0,0.2,0,0,0,0,0,0
KA,Arnór Ísak Haddsson,2023/24,5,0.8,36.4,0,0,1.2,1.4,0.4,1.8,0,0.2,0,0.6,0,0.2,0
KA,Arnór Ísak Haddsson,2022/23,22,0.9,47.5,0,0,1.1,1.3,0.4,1.5,0.1,0,0,0.2,0,0.1,0
KA,Arnór Ísak Haddsson,2021/22,25,2,65.3,0,0,0.7,1,0.5,0.8,0.1,0.1,0,0.1,0,0.2,0
KA,Arnór Ísak Haddsson,2020/21,18,0.3,54.5,0,0,0.1,0.3,0.1,0,0.1,0,0,0,0.1,0,0
KA,Arnór Ísak Haddsson,2019/20,12,0.3,37.5,0,0,0,0.1,0.1,0.2,0,0,0,0,0,0,0
Selfoss,Arnór Logi Hákonarson,2020/21,22,0.1,50,0,0,0.2,0.3,0,0.3,0,0,0,0.2,0,0.1,0
Selfoss,Arnór Logi Hákonarson,2019/20,5,0.2,100,0,0,0.6,1,0.2,0.8,0,0.4,0,0.4,0,0.2,0
Valur,Arnór Snær Óskarsson,2022/23,24,3.6,58.8,1,60.5,2.7,3.8,0.4,1.1,0.2,0.4,0,1,0,0.3,0
Valur,Arnór Snær Óskarsson,2021/22,31,4.8,71.1,1.7,82.8,1.9,2.8,0.8,1.2,0.2,0.2,0.1,1.7,0.1,0.3,0
Valur,Arnór Snær Óskarsson,2020/21,23,1,48,0,0,0.9,1.2,0.2,0.8,0,0,0,0.4,0,0.1,0
Valur,Arnór Snær Óskarsson,2019/20,15,1.5,57.5,0,0,0.3,0.6,0.2,0.8,0.1,0.1,0,0.3,0,0.2,0
Valur,Arnór Snær Óskarsson,2018/19,23,0.5,50,0,100,0.1,0.2,0.1,0,0,0,0,0,0,0,0
Thor,Arnór Þorri Þorsteinsson,2020/21,22,1.6,40.9,0,0,0.5,0.9,0.4,1,0.3,0,0,0.2,0,0.2,0
Akureyri,Arnór Þorri Þorsteinsson,2018/19,17,0.3,38.5,0,0,0.1,0.2,0.1,0.2,0,0,0.1,0.5,0,0.1,0
Thor,Arnþór Gylfi Finnsson,2020/21,21,1,75,0,0,0.1,0.1,0,0.4,0.1,0.1,0,0,0,0.1,0
Akureyri,Arnþór Gylfi Finnsson,2018/19,13,0.5,63.6,0,0,0,0,0,0.2,0.1,0,0,0.2,0,0,0
FH,Aron Pálmarsson,2023/24,4,2.5,41.7,0,0,4,5.5,0.3,1,0.5,0.8,0,1.8,0,0,0
KA,Aron Daði Bergþórsson,2022/23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valur,Aron Dagur Pálsson,2023/24,6,0.8,33.3,0,0,1.5,2.7,0,1.3,0,0.5,0.5,0.7,0,0.3,0
Valur,Aron Dagur Pálsson,2022/23,24,1.9,48.4,0,0,3.6,4.9,0.1,1.9,0.4,0.3,0.1,2.3,0.1,0.5,0
Fram,Aron Fannar Sindrason,2020/21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fram,Aron Fannar Sindrason,2019/20,11,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Fram,Aron Fannar Sindrason,2018/19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Aron Gauti Óskarsson,2023/24,6,1.5,40.9,0,0,0.2,0.5,0,0.3,0.2,0.2,0,0.2,0,0.3,0
Fram,Aron Gauti Óskarsson,2021/22,11,0.2,33.3,0,0,0.2,0.3,0.1,0.1,0,0,0,1.1,0.1,0.2,0
Fram,Aron Gauti Óskarsson,2020/21,4,1.5,75,0.3,100,0.5,0.5,0,0.5,0.3,0,0,0.5,0,0.3,0
Fram,Aron Gauti Óskarsson,2019/20,4,2,50,0,0,0.5,1.3,0.3,0.3,0,0.3,0,0.5,0,0,0
Fram,Aron Gauti Óskarsson,2018/19,20,2.1,50,0,0,0.4,1,0.1,0.7,0.2,0.2,0.1,1.8,0.1,0.6,0.1
Thor,Aron Hólm Kristjánsson,2020/21,19,1.1,47.7,0,0,1.1,1.7,0.2,1.2,0.1,0.1,0,0.6,0.1,0.1,0
Fjolnir,Aron Ingi Heiðmarsson,2019/20,5,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0
Grotta,Aron Valur Jóhannsson,2022/23,4,0,0,0,0,0,0,0.3,0,0,0,0,1.8,0,0.5,0
Grotta,Aron Valur Jóhannsson,2021/22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,Aron Örn Ægisson,2020/21,11,0.1,50,0,0,0.2,0.2,0,0,0,0.3,0.4,2.4,0.2,0.5,0
Fram,Aron Örn Heimisson,2020/21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fram,Aron Örn Heimisson,2019/20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IR,Aron Örn Ægisson,2019/20,3,0,0,0,0,0.3,0.3,0,0,0,0,0,2,0,0.3,0
IR,Aron Örn Ægisson,2018/19,10,0.2,33.3,0,0,0.5,0.6,0,0.1,0,0.2,0.2,3.5,0.1,0.6,0
Haukar,Atli Már Báruson,2022/23,33,0.4,70,0,0,0.2,0.3,0.1,0.1,0.1,0.1,0,0.4,0,0.2,0
Haukar,Atli Már Báruson,2021/22,29,1.2,59,0,0,1.1,1.7,0.4,1.2,0.2,0.2,0.1,2.1,0.1,0.4,0
Haukar,Atli Már Báruson,2020/21,28,1.9,54.1,0,0,1.9,2.5,0.4,0.9,0.1,0.5,0.1,2.2,0,0.5,0
Haukar,Atli Már Báruson,2019/20,19,3.6,52.3,0.2,50,3.5,4.3,0.3,2.5,0.8,0.3,0.1,4.4,0.1,0.6,0.1
Haukar,Atli Már Báruson,2018/19,34,3.7,63.1,1,72.3,1.7,2.4,0.4,2.1,0.4,0.2,0.1,1.3,0,0.4,0
Stjarnan,Atli Rúnar Steinþórsson,2021/22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stjarnan,Atli Rúnar Steinþórsson,2020/21,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
FH,Atli Steinn Arnarson,2023/24,5,0.6,75,0,0,0.6,0.8,0,0.2,0.2,0,0,0.2,0,0,0
FH,Atli Steinn Arnarson,2022/23,23,0.3,42.9,0,0,0.3,0.4,0,0.2,0,0,0,0.1,0,0.1,0
FH,Atli Steinn Arnarson,2021/22,16,0.4,70,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0
Selfoss,Atli Ævar Ingólfsson,2022/23,16,3.6,72.2,0,0,0.1,0.1,0.8,0.9,0.3,0,0.1,0.2,0,0.1,0
Selfoss,Atli Ævar Ingólfsson,2021/22,16,3.7,81.9,0.3,100,0.3,0.3,0.7,0.9,0.4,0,0,0.1,0,0.1,0
Selfoss,Atli Ævar Ingólfsson,2020/21,23,4.1,74.8,0,0,0,0,1.1,0.7,0.4,0.1,0,0.2,0,0.1,0
Selfoss,Atli Ævar Ingólfsson,2019/20,20,4.2,81.6,0,0,0.1,0.2,0.9,0.7,0.6,0,0.1,0.6,0,0.5,0.1
Selfoss,Atli Ævar Ingólfsson,2018/19,30,3.6,74.3,0.1,66.7,0.1,0.1,1.1,0.8,0.3,0.1,0.1,0.8,0.1,0.4,0
Hordur,Axel Sveinsson,2022/23,14,1.7,68.6,0,0,0.1,0.1,0,0.6,0.3,0.5,0.1,0.9,0,0.1,0
FH,Ágúst Birgisson,2023/24,5,0.4,66.7,0,0,0,0,0.2,0.2,0.2,0,1.6,2.6,0,0.2,0
FH,Ágúst Birgisson,2022/23,17,0.9,83.3,0,0,0,0,0.2,0.4,0.5,0.4,0.7,2.9,0,0.6,0.1
Afturelding,Ágúst Björgvinsson,2022/23,22,0.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0
Afturelding,Ágúst Björgvinsson,2021/22,8,0.1,100,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0
FH,Ágúst Birgisson,2021/22,25,2.4,65.2,0,0,0,0.1,0.4,0.5,0.5,0.3,1,4.3,0.2,0.6,0
Afturelding,Ágúst Björgvinsson,2020/21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH,Ágúst Birgisson,2020/21,19,2.8,73.6,0,0,0.3,0.5,0.7,0.5,0.5,0.6,1.4,5.3,0.2,0.9,0.1
FH,Ágúst Birgisson,2019/20,18,2.7,72.7,0,0,0.1,0.2,0.5,0.4,0.8,0.4,0.8,3.2,0.2,1.1,0.2
