Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
Valur,Lovísa Thompson,2020/21,20,6.6,55.9,0.6,66.7,0.8,2,3.2,62.9,0.3,2.7,0.74,1.17,0.3,1,0.5,4.9,0.1,0.4,0,7.6
Valur,Lovísa Thompson,2019/20,18,6.3,58.8,0.6,100,0.2,4,5.4,73.5,0.8,1.9,2.06,2.8,0.3,0.8,0.6,5.1,0.2,0.2,0,8.2
Valur,Lovísa Thompson,2018/19,27,5.2,51.5,0.1,100,0.6,2.9,3.8,76.7,0.3,2.3,1.25,1.63,0.6,0.6,0.3,4.3,0.2,0.3,0,7.3
Grotta,Lovísa Thompson,2017/18,7,5.1,55.4,1.6,84.6,0.9,2.3,4.3,53.3,0.3,1.6,1.45,2.73,0.3,0.7,0.1,4.7,0.6,0.3,0,6.8
Afturelding,Lovísa Líf Helenudóttir,2023/24,21,1,54.1,0,0,0.1,0.3,0.4,77.8,0,0.6,0.54,0.69,0.2,0.6,0,0.6,0,0.2,0,5.3
Afturelding,Lovísa Líf Helenudóttir,2021/22,21,1.5,50,0,0,0,0.2,0.2,83.3,0,0.3,0.83,1,0.1,0.4,0,0.5,0,0,0,5.4
HK,Lovísa Líf Helenudóttir,2020/21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
HK,Lovísa Líf Helenudóttir,2019/20,13,0.1,100,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,5
KA/Thor,Lydía Gunnþórsdóttir,2023/24,21,3.2,46.2,1.7,75,0.2,1.6,2.3,68.8,0.3,2.1,0.73,1.07,0.1,0.2,0,0.1,0,0,0,5.8
KA/Thor,Lydía Gunnþórsdóttir,2022/23,24,3.1,65.2,1.8,79.2,0.1,1.2,1.8,66.7,0.4,1.8,0.64,0.95,0.1,0.1,0,0.2,0,0,0,6
KA/Thor,Lydía Gunnþórsdóttir,2021/22,2,0.5,50,0.5,100,0,0.5,1,50,0,0.5,1,2,0,0,0,0,0,0,0,5.2
Fram,Madeleine Lindholm,2022/23,15,3,45.5,0.1,100,0,1.4,1.8,77.8,0.3,1.1,1.24,1.59,0.1,0.3,0.3,2.9,0.1,0.2,0,6
HK,Margrét Guðmundsdóttir,2022/23,10,0.6,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,5.1
HK,Margrét Guðmundsdóttir,2021/22,8,1.5,63.2,0,0,0.1,0,0,0,0,0.3,0,0,0.1,0.3,0,0.6,0,0,0,5.5
IBV,Margrét Björg Castillo,2023/24,26,0.3,30.8,0,0,0,0.6,0.8,78.9,0.1,0.6,0.94,1.19,0,0,0,0.7,0,0.3,0,5.1
Fram,Margrét Björg Castillo,2021/22,8,0.9,38.9,0,0,0,1.5,2.3,66.7,0,0.6,2.4,3.6,0,0.1,0,0,0,0.3,0,5.4
Fram,Margrét Björg Castillo,2020/21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Haukar,Margrét Björg Castillo,2019/20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Haukar,Margrét Björg Castillo,2018/19,4,0.3,100,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
IR,Maria Leifsdóttir,2023/24,21,0.1,33.3,0,0,0,0.1,0.1,75,0,0.1,1.5,2,0,0,0,0.1,0,0,0,5.1
Valur,Mariam Eradze,2022/23,28,4.4,46.9,0,0,0.3,2.9,4.2,68.4,0.6,2.3,1.27,1.86,0.4,1,2,4.4,0.2,0.8,0.1,7.2
Valur,Mariam Eradze,2021/22,29,3.5,50,0.2,77.8,0.4,1.5,2.2,69.8,0.7,1.5,1.02,1.47,0.3,0.5,0.9,2.4,0.1,0.3,0,6.5
Valur,Mariam Eradze,2020/21,20,1.8,40.7,0,0,0,0.7,1,70,0.2,0.9,0.78,1.11,0.1,0.5,1.7,2.6,0.3,0.4,0,5.8
IBV,Marija Jovanovic,2022/23,9,1.8,66.7,0,0,0.3,0.8,1.4,58.3,0.2,1.7,0.47,0.8,0.2,0.9,0.8,1.9,0.2,0.8,0.1,5.5
IBV,Marija Jovanovic,2021/22,26,3.6,52.2,1.9,74.6,0.3,2.3,3.7,62.9,0.6,2.2,1.07,1.7,0.5,0.7,1.7,1.7,0.2,1.2,0.1,6.5
Stjarnan,Marinela Ana Gherman,2023/24,1,0,0,0,0,0,1,1,100,0,0,0,0,0,1,0,1,0,0,0,5.5
KA/Thor,Martha Hermannsdóttir,2023/24,5,1.6,61.5,0.4,40,0.4,1.2,1.4,85.7,0.2,1,1.2,1.4,0.2,0.2,0.8,3.2,0,0.2,0,6.1
KA/Thor,Martha Hermannsdóttir,2021/22,26,4.4,67.9,3.1,82.7,0.3,2.3,3.7,62.9,0.5,1.5,1.56,2.49,0.4,0.5,0.3,4.2,0.2,0.7,0,7.3
KA/Thor,Martha Hermannsdóttir,2020/21,11,1.8,52.6,1.1,70.6,0.5,0.7,1.5,47.1,0.3,1.2,0.62,1.31,0.2,0.6,0.5,2.5,0,1.1,0.2,5.7
KA/Thor,Martha Hermannsdóttir,2019/20,18,5.3,49.7,2.6,79.7,0.4,3.1,4.4,70.9,1.1,2.8,1.1,1.55,0.4,0.6,0.7,6.3,0.1,1,0,7.4
KA/Thor,Martha Hermannsdóttir,2018/19,21,6.6,57.7,3,84,0.8,2.9,3.9,73.2,0.5,2.5,1.13,1.55,0.2,0.7,0.2,5.4,0.1,0.8,0,7.7
KA/Thor,Martina Corkovic,2019/20,12,3.3,45.9,0.8,75,0.3,1.2,2.2,53.8,0.3,1.4,0.82,1.53,0.2,0.7,0.3,2.5,0.3,0.3,0,6.2
IR,Matthildur Lilja Jónsdóttir,2023/24,23,2.5,40.6,0.1,100,0.5,1.4,2.6,54.2,0.6,1.8,0.78,1.44,0.5,0.7,0.3,4.3,0.2,0.3,0,6.3
HK,Mattý Rós Birgisdóttir,2022/23,5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,4.8
Valur,Morgan Marie Þorkelsdóttir,2023/24,22,1.9,45.6,0,0,0.1,2.1,2.8,75.8,0.4,1.2,1.81,2.38,0.1,0.2,0,1.3,0.1,0,0,6
Valur,Morgan Marie Þorkelsdóttir,2022/23,14,0.9,46.2,0,0,0.1,0.4,0.8,54.5,0.3,0.5,0.86,1.57,0.2,0,0,1.1,0,0,0,5.4
