Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
Vikingur,Heiðar Snær Tómasson,2023/24,4,1,19,4.3,0,0,0,0,0,0,0,0,0
Selfoss,Helgi Hlynsson,2018/19,4,4.3,26.2,12,0.3,16.7,0,0,0,0,0,0,0
Selfoss,Helgi Hlynsson,2017/18,28,5.7,28.9,14,0.5,31.7,0.1,0,0.3,0.1,0,0,0
Vikingur,Hrafn Valdísarson,2017/18,20,3.7,24.1,11.7,0.2,15.8,0,0.1,0.4,0.2,0,0,0
Valur,Hreiðar Levý Guðmundsson,2020/21,1,0,0,0,0,0,0,0,0,0,0,0,0
Valur,Hreiðar Levý Guðmundsson,2019/20,19,5.1,36.5,8.8,0.3,23.1,0,0,0.1,0,0,0,0
Grotta,Hreiðar Levý Guðmundsson,2018/19,19,11,33.5,21.8,0.7,22.2,0.2,0.1,0.4,0.1,0.1,0.1,0
Grotta,Hreiðar Levý Guðmundsson,2017/18,21,12.5,32.5,25.9,0.9,29.7,0.1,0.1,0.2,0.2,0,0,0
HK,Ingvar Ingvarsson,2021/22,3,4.7,30.4,10.7,0.3,33.3,0,0.3,0,0,0,0,0
Fjolnir,Ingvar Kristinn Guðmundsson,2019/20,1,0,0,0,0,0,0,0,0,0,0,0,0
Fjolnir,Ingvar Kristinn Guðmundsson,2017/18,22,6.5,27.2,17.5,0.3,17.1,0,0,0.2,0.2,0,0,0
Grotta,Ísak Arnar Kolbeins,2022/23,11,0.5,21.7,1.6,0.1,12.5,0,0,0,0,0,0,0
Grotta,Ísak Arnar Kolbeins,2021/22,22,0.6,24.5,1.8,0.1,15.4,0,0,0.1,0,0,0,0
Grotta,Ísak Arnar Kolbeins,2020/21,7,0.4,13,2.9,0,0,0,0,0,0,0,0,0
Grotta,Ísak Arnar Kolbeins,2018/19,3,4,24.5,12.3,0,0,0,0.3,0,0,0,0,0
Afturelding,Jovan Kukobat,2023/24,33,6,35.2,11,0.4,28.6,0.1,0,0.1,0.1,0,0,0
Afturelding,Jovan Kukobat,2022/23,29,7.7,31,17.2,0.5,21.4,0.1,0,0.6,0.2,0,0,0
Vikingur,Jovan Kukobat,2021/22,22,10.2,31.4,22.4,0.6,24.1,0.3,0,0.3,0.2,0,0,0
Thor,Jovan Kukobat,2020/21,22,8.7,33.6,17.2,0.6,30.2,0.1,0.1,0.3,0.3,0,0,0
KA,Jovan Kukobat,2019/20,20,8.1,28,20.7,0.3,14,0.1,0.1,0.2,0.2,0,0,0
KA,Jovan Kukobat,2018/19,22,11.5,31.4,25.2,0.9,23.8,0.1,0.2,0,0.2,0,0,0
IBV,Jóhannes Esra Ingólfsson,2023/24,1,2,66.7,1,0,0,0,0,0,0,0,0,0
IBV,Jóhannes Esra Ingólfsson,2022/23,12,1.3,17.4,5.9,0,0,0,0,0,0,0,0,0
Valur,Jón Sigfús Jónsson,2019/20,1,0,0,0,0,0,0,0,0,0,0,0,0
