Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
IBV,Dagur Arnarsson,2021/22,31,3,59.2,0,0,0.5,3.4,4.9,68.8,0.5,2.5,1.36,1.97,0.4,0.6,0.2,1.4,0,0.2,0,6.8
Stjarnan,Dagur Gautason,2020/21,25,2.9,66.4,0.1,66.7,0.4,0.2,0.3,71.4,0,0.1,2.5,3.5,0.4,0.8,0,0.8,0.1,0.2,0,6.1
IBV,Dagur Arnarsson,2020/21,26,4.1,50.2,0,0,0.8,5.5,8.6,63.8,1.7,3.2,1.74,2.73,0.5,0.7,0.2,1.9,0,0.3,0,7.7
KA,Dagur Gautason,2019/20,20,4.3,68,0.3,66.7,0.8,0.7,0.8,92.9,0.1,0.8,0.87,0.93,1.3,1.5,0,2.3,0.1,0.3,0,7
IBV,Dagur Arnarsson,2019/20,19,3.2,53,0,0,0.5,3.3,5,65.3,1.2,2.4,1.35,2.07,0.2,0.4,0.4,1.4,0,0.2,0,6.8
IBV,Dagur Arnarsson,2018/19,29,2.9,54.2,0.1,50,0.5,2,2.9,68.2,0.6,1.6,1.26,1.85,0,0.1,0,0.6,0,0.1,0,6.2
KA,Dagur Gautason,2018/19,20,3.4,71.3,0.1,50,0.4,0.5,0.6,81.8,0,0.4,1.13,1.38,1,0.7,0,1.8,0.2,0.2,0,6.4
IBV,Dagur Arnarsson,2017/18,28,1.2,54,0,0,0.2,0.6,0.8,73.9,0.2,0.9,0.71,0.96,0.3,0.2,0.1,0.5,0,0.1,0,5.5
KA,Dagur Árni Heimisson,2023/24,22,2.3,56.8,0,0,0.2,1.4,1.9,72.1,0.3,1,1.41,1.95,0,0.1,0,0.5,0,0.1,0,5.9
KA,Dagur Árni Heimisson,2022/23,22,1,56.8,0,0,0.3,1.2,2.1,57.8,0.3,0.8,1.53,2.65,0,0,0,0.5,0,0,0,5.6
KA,Dagur Árni Heimisson,2021/22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fram,Dagur Fannar Möller,2023/24,21,1.7,66.7,0,0,0.4,0.2,0.2,83.3,0,0.4,0.63,0.75,0.4,0.6,0.5,3.3,0.1,0.3,0,6
Stjarnan,Dagur Logi Sigurðsson,2022/23,10,0.1,50,0,0,0,0.1,0.2,50,0,0.1,1,2,0,0,0,0,0,0,0,5
Stjarnan,Dagur Logi Sigurðsson,2020/21,7,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,5
Stjarnan,Dagur Snær Stefánsson,2017/18,4,1.3,55.6,0,0,0,0.5,0.5,100,0,0.8,0.67,0.67,0,0.3,0,0,0,0,0,5.3
IR,Dagur Sverrir Kristjánsson,2022/23,22,5.2,52,1.1,83.3,0.9,2.9,4.9,59.3,0.6,2.3,1.25,2.12,0.5,0.3,0,3,0,0.5,0,7.2
IR,Dagur Sverrir Kristjánsson,2020/21,19,2.5,52.2,0.4,72.7,0.5,1.3,2.1,62.5,0.1,0.7,1.79,2.86,0.3,0.2,0,0.6,0,0.3,0,6
IR,Dagur Sverrir Kristjánsson,2019/20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IR,Dagur Sverrir Kristjánsson,2018/19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IBV,Daniel Esteves Vieira,2023/24,29,3.9,57.6,0,0,0.7,2.1,2.8,76.3,0.4,2.1,0.98,1.29,0.4,0.5,0.2,1.9,0.1,0.4,0,6.6
FH,Daníel Matthíasson,2023/24,33,0.4,75,0,0,0.1,0,0,0,0,0.1,0,0,0.1,0.1,0,1.2,0,0.2,0,5.2
FH,Daníel Matthíasson,2022/23,18,0.9,72.7,0,0,0.1,0.1,0.1,100,0,0.2,0.25,0.25,0,0,0,0.7,0,0.1,0,5.3
FH,Daníel Matthíasson,2021/22,6,0.2,100,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,2.2,0,0.3,0,5.2
KA,Daníel Matthíasson,2019/20,18,1.4,69.4,0,0,0.4,0.1,0.1,100,0,0.7,0.17,0.17,0.2,0.3,0.1,4.9,0.3,0.6,0.1,5.8
KA,Daníel Matthíasson,2018/19,19,1.5,65.1,0,0,0.5,0.2,0.3,80,0.1,0.9,0.24,0.29,0.4,0.4,0.2,5.3,0.2,0.5,0,5.9
FH,Daníel Matthíasson,2017/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.2
Afturelding,Daníel Bæring Grétarsson,2023/24,3,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,5.2
Fjolnir,Daníel Freyr Rúnarsson,2019/20,8,1.3,55.6,0.5,80,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,5.3
Stjarnan,Daníel Karl Gunnarsson,2023/24,19,2.1,64.5,0,0,0.1,0.1,0.1,100,0,0.4,0.14,0.14,0.4,0.5,0,0.5,0,0.1,0.1,5.6
Selfoss,Daníel Karl Gunnarsson,2021/22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Selfoss,Daníel Karl Gunnarsson,2020/21,2,2,57.1,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,1.5,0,0,0,5.6
Selfoss,Daníel Karl Gunnarsson,2019/20,13,1.5,52.8,0,0,0.2,0.1,0.1,100,0,0.2,0.33,0.33,0.2,0.4,0,0.8,0,0.3,0,5.4
Fram,Daníel Stefán Reynisson,2023/24,16,0.5,100,0,0,0,0,0.1,0,0,0.1,0,1,0.3,0.1,0.1,0.8,0,0,0,5.3
Fram,Daníel Stefán Reynisson,2022/23,8,0.3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fram,Daníel Stefán Reynisson,2021/22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.1
Hordur,Daníel Wale Adeleye,2022/23,19,1.8,51.5,0.9,65.4,0.2,0.2,0.4,57.1,0.1,0.5,0.4,0.7,0.4,0.1,0,0.4,0,0,0,5.5
FH,Daníel Wale Adeleye,2017/18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
